
,,,,
,,,,,,"SMPR - Secretaria Municipal das Prefeituras Regionais
SMUL - Secretaria Municipal de Urbanismo e Licenciamento
SLE - Sistema de Licenciamento Eletrônico",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Página:1 / 1,,,
,,,,,,,,Relatório de processos aprovados,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,Período de consulta: de,,,,,,45292,,até,,,45657,,- Data de emissão:,,,,45673,

Unidade,Administração regional,,Alvará,,,,Processo,,,,,,,Descrição,,,,,Data autuação,,,SQL_Incra,,,,Categoria de uso,Zona de uso atual,,Zona de uso anterior,Bairro,Área da construção (m²),Proprietário,Área do terreno (m²),Endereço,Aprovação,Dirigente técnico,Responsável pela empresa,Autor do projeto,Responsável pela empresa,"(B)locos / 
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.03.945-00,,,,6068-2024-0.005.660-3,,,,,,,ALVARA DE AUTORIZACAO,,,,,28/05/2024,,,073.284.0002-1,,,,NR3.04, ZOE,,ZONA DE OCUPACAO ESPECIAL.,SANTANA,,FERNANDO TOTI EVENTOS,,AV  OLAVO FONTOURA 1209 ANHEMBI/ ,17/07/2024,LUIZ CARLOS MARCATO; SABRINA MANZARO; RICARDO WAGNER DE ANDRADE FILHO; ROSEMBERG ALVES DOS SANTOS; LUIZ CLAUDIO MAGON; PAULO CESAR FREIRE DE FREITAS FILHO; JOSE EDUARDO DO NASCIMENTO,,JOSE EDUARDO DO NASCIMENTO,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.04.132-00,,,,6068-2024-0.006.531-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,20/06/2024,,,071.015.0030-7,,,,NR3.04, ZEP,,Z8-067.,HORTO FLORESTAL,,TATICA - MARKETING ESPORTIVO EIRELI,,R   DO HORTO 00931 CAMPO DE FUTEBOL /,26/07/2024,DAVID BERG,,,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.04.139-00,,,,6068-2024-0.006.503-3,,,,,,,ALVARA DE AUTORIZACAO,,,,,19/06/2024,,,073.284.0002-1,,,,NR3.04, ZOE,,ZONA DE OCUPACAO ESPECIAL.,SANTANA,,MARU DIVISION ORGANIZACAO DE EVENTOS LTDA,,AV  OLAVO FONTOURA 1209 ANHEMBI/ ,26/07/2024,DAVISON ANTONIO RODRIGUES; MARCELO MIASATO; CLAUDIO RODRIGUES BEDUSCKI; VLADIMIR ISMAEL NETTO; RICARDO WAGNER DE ANDRADE FILHO; LUIZ CARLOS ALMEIDA SANTOS,,,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.04.239-00,,,,6068-2024-0.006.852-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,27/06/2024,,,073.284.0002-1,,,,NR3.04, ZOE,,ZONA DE OCUPACAO ESPECIAL.,SANTANA,,ECBR FOMENTO AO E-COMMERCE LTDA,,AV  OLAVO FONTOURA 1209 ANHEMBI/ ,31/07/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.03.927-00,,,,6068-2023-0.004.068-3,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,08/05/2023,,,085.661.0140-5,,,,NR3.04, ZM,,ZONA MISTA DE BAIXA DENSIDADE.,VILA CORDEIRO,,CINEMARK BRASIL S.A.,,AV  DAS NACOES UNIDAS 13947 SHOP MARKET PLACE /,16/07/2024,LUIZ LEME DOS SANTOS; ARLINDO WU HON,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.04.182-00,,,,6068-2024-0.005.718-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,29/05/2024,,,087.379.0055-2,,,,NR2.11, AC-2,,CLUBE DE CAMPO.,SANTO AMARO,,ANNA LUCIA DE ALMEIDA PIRES CAMARGOS,,R   DR     VITO ROLIM DE FREITAS 421 HIPICA SANTO AMARO/ ,29/07/2024,SERGIO GOMES FERNANDES RIBEIRO,,,,,,
SMUL/CONTRU/DLR     ,SAO MATEUS                    ,,2024.03.838-00,,,,6068-2024-0.001.181-2,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,02/02/2024,,,150.192.0051-3,,,,NR2.15, ZEU,,ZONA DE CENTRALIDADE POLAR - B.,CIDADE SAO MATEUS,,CONGREGACAO CRISTA NO BRASIL,,R   EMB ILDEFONSO FALCAO 00212 ,11/07/2024,JOSE ALVES FERREIRA JUNIOR; ZELIA ALVES PINTO SAID; ELIFELETE FERREIRA DA SILVA,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.03.830-00,,,,6068-2024-0.006.644-7,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,24/06/2024,,,010.026.0016-2,,,,NR2.11, ZEU,,ZONA DE CENTRALIDADE POLAR - B.,CONSOLACAO,,MAYBACH ENTRETENIMENTO LTDA,,R   AUGUSTA 00353 ,11/07/2024,MARIA LUIZA SERRA CASTILHO,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.03.833-00,,,,6068-2024-0.004.609-8,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,30/04/2024,,,008.039.0048-1,,,,NR3-04, ZC,,Z2.,CENTRO,,FUNDAÇÃO ORQUESTRA SINFÔNICA DO ESTADO DE SÃO PAULO,,PC  JULIO PRESTES 00148 E 260,11/07/2024,NELSON CARLOS LAUSON DUPRE; RODOLFO WILLIAN KENNEDY FERREIRA DE AQUINO,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.04.133-00,,,,6068-2024-0.006.215-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,13/06/2024,,,018.001.0006-1,,,,NR2.10, AC-1,,Z8-007/04.,PONTE PEQUENA,,SECRETARIA DO GOVERNO MUNICIPAL,,AV  SANTOS DUMONT 843 C. ESPORTIVO TIETE /,26/07/2024,JOSE EDUARDO DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.04.137-00,,,,6068-2024-0.006.571-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,20/06/2024,,,020.095.1381-9,,,,NR2.11, ZC,,ZONA MISTA DE ALTA DENSIDADE - B.,/ HIGIENOPOLIS,,CONDOMÍNIO COMERCIAL SHOPP PÁTIO HIGIENÓPOLIS,,AV  HIGIENOPOLIS 618 698-SHOP.PATIOHIGIEN,26/07/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.04.235-00,,,,6068-2024-0.006.872-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,27/06/2024,,,020.095.1381-9,,,,NR2.11, ZC,,ZONA MISTA DE ALTA DENSIDADE - B.,/ HIGIENOPOLIS,,NUCLEO FOOD ORGANIZACAO DE FEIRAS,,AV  HIGIENOPOLIS 618 698-SHOP.PATIOHIGIEN,31/07/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIA/ VILA GUILHERME     ,,2024.03.939-00,,,,6068-2024-0.006.219-0,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE AUTORIZACAO,,,,,13/06/2024,,,064.207.0019-1,,,,NR3-04, ZEMP,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA GUILHERME,,COLETIVO ZEENI LTDA,,R   CHICO PONTES 1380 A 1730 /,17/07/2024,BRUNO LESSA GOMES,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2004.10.175-01,,,,6068-2024-0.002.906-1,,,,,,,APOSTILAMENTO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,19/03/2024,,,037.033.0197-1,,,,NR2.15, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,VILA MARIANA,,IGREJA MESSIANICA MUNDIAL DO BRASIL,,R   MORGADO DE MATEUS 77 ,16/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.03.652-00,,,,6068-2023-0.011.735-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,15/12/2023,,,037.036.0661-4,,,,NR3.07, ZEU,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA MARIANA,,IGREJA BATISTA DE VILA MARIANA,,"R   JOAQUIM TAVORA 00598 618, 608",02/07/2024,MARCOS ANTONIO LANZELOTI; RODRIGO BATISTA CASTOR MARQUES; ADRIANA SEMENICHIN BURLE,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.03.708-00,,,,6068-2024-0.005.251-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,17/05/2024,,,036.144.0003-4,,,,NR4.06, ZEPAM,,ZONA ESPECIAL DE PRESERVACAO CULTURAL.,/ IBIRAPUERA,,T4F ENTRETENIMENTO S/A,,AV  PEDRO ALVARES CABRAL 99999 IBIRAPUERA-AUDITORIO,05/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.03.715-00,,,,6068-2024-0.005.729-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,29/05/2024,,,036.138.0154-1,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA MARIANA,,CENTRO DE DESENVOLVIMENTO HUMANO PERSONALISSIMO LTDA,,R   MANUEL DA NOBREGA 1361 GINASIO IBIRAPUERA/,05/07/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.03.832-00,,,,6068-2024-0.005.846-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,04/06/2024,,,036.144.0003-4,,,,NR3-04, ZEPAM,,Z8-014.,/ IBIRAPUERA,,FUNDACAO BIENAL DE SAO PAULO,,AV  PEDRO ALVARES CABRAL 99999 IBIRAPUERA-AUDITORIO,11/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.03.951-00,,,,6068-2024-0.005.875-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,05/06/2024,,,036.144.0003-4,,,,NR2.11, ZEPAM,,Z8-014.,/ IBIRAPUERA,,OITOTM PRODUCOES E PARTICIPACOES LTDA.,,AV  PEDRO ALVARES CABRAL 99999 IBIRAPUERA-AUDITORIO,17/07/2024,MIRIAM ASSUMPCAO MATERAGGIA,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.04.123-00,,,,6068-2024-0.005.508-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,23/05/2024,,,036.144.0003-4,,,,NR4.06, ZEPAM,,ZONA ESPECIAL DE PRESERVACAO CULTURAL.,/ IBIRAPUERA,,CRS MUSIC PROMOCOES E EVENTOS MUSICAIS LTDA EPP,,AV  PEDRO ALVARES CABRAL 99999 IBIRAPUERA-AUDITORIO,26/07/2024,NAIARA ROBERTA ROSIN SIMOES COELHO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.04.146-00,,,,6068-2024-0.001.215-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,05/02/2024,,,047.136.0001-6,,,,NR2.10, AC-1,,Z8-AV8-034.,IBIRAPUERA,,CLUBE ESPORTIVO HELVETIA,,AV  INDIANOPOLIS 03075 3145,26/07/2024,MARIA ANTONIA VIEIRA,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.04.159-00,,,,6068-2024-0.007.535-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,15/07/2024,,,036.138.0154-1,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA MARIANA,,COMUNIDADE EVANGELICA SARA NOSSA TERRA DE SP - CENTRO,,R   MANUEL DA NOBREGA 1361 GINASIO IBIRAPUERA/,29/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.04.238-00,,,,6068-2024-0.006.504-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,19/06/2024,,,036.144.0003-4,,,,NR3.04, ZEPAM,,Z8-014.,/ IBIRAPUERA,,CENTRO DE CULTURA INFORMAÇÃO E MEIO AMBIENTE,,AV  PEDRO ALVARES CABRAL 99999 IBIRAPUERA-AUDITORIO,31/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.03.614-00,,,,6068-2024-0.005.541-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,24/05/2024,,,1104999999,,,,NR3.04,,,Z1-007.,PACAEMBU,,ASSOCIAÇÃO QUATRO CINCO UM,,PC  CHARLES MILLER 9999 ,01/07/2024,,,,,,,
SMUL/CONTRU/DLR     ,,,2024.03.615-00,,,,6068-2024-0.005.761-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,29/05/2024,,,14105799999,,,,NR3-04, ZEIS-1,,ZONA MISTA DE MEDIA DENSIDADE.,CID. A.E. CARVALHO,,SAO PAULO SECRETARIA MUNICIPAL DE CULTURA,,AV  CAITITU 000 ,01/07/2024,JOSE EDUARDO DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.03.974-00,,,,6068-2024-0.005.913-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,05/06/2024,,,502099999,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,LIBERDADE,,ASSOCIACAO CULTURAL E ASSISTENCIAL DA LIBERDADE,,PC   DA LIBERDADE AFRICA-JAPAO 999999 ,18/07/2024,LUIZ CARLOS MARCATO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.03.987-00,,,,6068-2024-0.006.033-3,,,,,,,ALVARA DE AUTORIZACAO,,,,,07/06/2024,,,14700100019,,,,NR3.04, ZM,,Z2.,ITAQUERA,,EDUARDO SAUEIA BUENO ORGANIZAÇÃO DE EVENTOS LTDA,,AV  ARICANDUVA 5555 ,18/07/2024,DIONE DA SILVA LIMA,,,,,,
SMUL/CONTRU/DLR     ,,,2024.04.057-00,,,,6068-2024-0.006.558-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,20/06/2024,,,17012999999,,,,NR3.04,,,Z8-029.,PARAISOPOLIS,,UNIAO DOS MORADORES E DO COMERCIO DE PARAISOPOLIS,,AV  HEBE CAMARGO 0 LOGRADOURO PUBLICO /,23/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.04.127-00,,,,6068-2024-0.006.300-6,,,,,,,ALVARA DE AUTORIZACAO,,,,,14/06/2024,,,107999999,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,VIVA O VALE CONCESSIONARIA SPE S.A,,PQ  ANHANGABAU 99999 ,26/07/2024,MESAQUE MOTA BISPO; GABRIEL ALBERT SILVA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.04.140-00,,,,6068-2024-0.006.611-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,21/06/2024,,,101899999,,,,NR3.04,,,Z8-200-021.,SANTA IFIGENIA/,,SAO PAULO SECRETARIA MUNICIPAL DE CULTURA,,PC  DA LUZ 37 PC DA LUZ/ ,26/07/2024,JOSE EDUARDO DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.04.158-00,,,,6068-2024-0.004.524-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,26/04/2024,,,3614499999,,,,NR4.06, ZEPAM,,ZONA ESPECIAL DE PRESERVACAO CULTURAL.,IBIRAPUERA,,PIPOCA.CO ENTRETENIMENTO E SOLUÇÕES DE INFORMÁTICA LTDA,,AV  PEDRO ALVARES CABRAL 99999 OBELISCO,29/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.04.163-00,,,,6068-2024-0.006.860-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,27/06/2024,,,23299999999,,,,NR3.04,,,ZONA NAO DEFINIDA.,ITAQUERA,,FEDERACAO DE SAKURA E IPE DO BRASIL,,AV  AFONSO DE SAMPAIO E SOUSA 951 PARQUE DO CARMO /,29/07/2024,FABIO RODRIGUES GUILMO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.04.193-00,,,,6068-2024-0.006.964-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,28/06/2024,,,100199999,,,,NR3.04, ZONA NÃO DEFINIDA,,ZONA NAO DEFINIDA.,/ CENTRO,,CRS MUSIC PROMOÇÕES E EVENTOS MUSICAIS LTDA,,PQ  ANHANGABAU 0 PQ. ANHANGABAU,29/07/2024,SANDRA CARDOSO DA SILVA BISPO; RODRIGO ROSSI GALLINDO; ROBERT BARRETO CRISTAL; MESAQUE MOTA BISPO,,MESAQUE MOTA BISPO,,,,
SMUL/CONTRU/DLR     ,,,2024.04.196-00,,,,6068-2024-0.006.246-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,13/06/2024,,,107999999,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,"HEAVY LOVE EVENTOS, COMERCIO E COMUNICACAO LTDA",,PQ  ANHANGABAU 99999 ,29/07/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/GAB            ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2015.22.712-03,,,,0000-2017-0.106.190-9,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,30/06/2017,,,054.292.0005-0,,,,NR3-04; R2V-02, ZCP-A/001,,Z2.,JARD. ANALIA FRANCO,"157.819,73",ANALIA FRANCO COMERCIO E DESENVOLVIMENTO IMOBILIARIO LTDA,"117.388,40",AV  REGENTE FEIJO 1739 LJ 121/122 LJ OQ,03/07/2024,ANTONIO SERGIO BIANCO,,AFLALO & GASPERINI ARQUITETOS LTDA,LUIZ FELIPE AFLALO HERMAN,B: 1 P: 5 U: 0; B: 4 P: 28 U: 0,,
SMUL/GAB            ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2024.03.748-00,,,,0000-2003-1.032.863-9,,,,,,,RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003,,,,,01/10/2003,,,055.382.0009-4,,,,E3.4,,,Z2.,VILA CARRAO,,CENTRO ESPIRITA IRMA NICE,"7.845,00",R   DENTISTA BARRETO 00978 ,05/07/2024,,,,,,,
SMUL/GAB            ,CAMPO LIMPO                   ,,2024.04.007-00,,,,0000-2014-0.149.270-0,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,28/05/2014,,,171.204.0027-3,,,,R2V-01, ZM-3A/002,,Z2.,VL ANDRADE,"7.266,79",VCM ADMINISTRACAO E PARTICIPACOES LTDA,"1.936,20",R   JOSE DE OLIVEIRA COELHO 227 LT 29 QD 189,19/07/2024,GERSON VALERY MASSAGARDI,,WILSON MARCHI JUNIOR,,B: 1 P: 19 U: 0,,
SMUL/GAB            ,JABAQUARA                     ,,2024.03.922-00,,,,0000-2018-0.090.718-0,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE SEGURANCA,,,,,05/09/2018,,,089.138.0179-5,,,,NR1.01; NR1.06, ZC,,Z2.,- VILA MASCOTE,,"MOREIRA BRANCO ADMINISTRACAO DE BENS, PARTICIP",,AV  SANTA CATARINA 1521 SALA 102,16/07/2024,NELSON ROBERTO JARDIM DE SOUZA,,,,,,
SMUL/GAB            ,LAPA                          ,,2024.03.704-00,,,,0000-2019-0.033.935-4,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE SEGURANCA,,,,,28/05/2019,,,099.045.0028-2,,,,NR1.06; NR2.12, ZEM,,ZONA MISTA DE ALTA DENSIDADE - A.,LAPA,,CEPRIN EMPREENDIMENTOS E PARTICIPACOES S/A,,R   DO CURTUME 554 574,04/07/2024,NELSON REPLE NETO,,,,,,
SMUL/GAB            ,MOOCA                         ,,2024.03.619-00,,,,0000-2016-0.156.343-0,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,08/07/2016,,,026.017.0183-8,,,,NR3.07, ZDE-1,,Z3-092.,BRAS,,IGREJA UNIVERSAL DO REINO DE DEUS,,AV  CELSO GARCIA 00605 TEMPLO SALOMAO /,01/07/2024,GABRIEL FAGUNDES VENTURA; ERIK WILLIAN BARROSO SODRE; MURILO RODRIGUES GRANADO; LEANDRO BRANDAO DAMASCENO SANTOS,,,,,,
SMUL/GTEC           ,ITAQUERA                      ,,2024.03.612-00,,,,6068-2022-0.003.758-3,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE REGULARIZACAO,,,,,26/04/2022,,,232.007.0032-5,,,,R1,,,Z9-007.,VL CARMOZINA,,WOLF TOLKSDORF DINIZ,"150,00",R   GERMANO LIMEIRA 00288 LT 13A QD 228,01/07/2024,JANDERSON MARCOS CAMPOS,,,,,,
SMUL/GTEC           ,VILA MARIANA                  ,,2022.05.579-01,,,,0000-2003-1.042.947-8,,,,,,,APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003,,,,,11/11/2003,,,037.009.0143-7,,,,E3.1,,,Z2.,VL MARIANA,,IMOAL EMPREENDIMENTOS IMOBILIARIOS LTDA.,"3.348,20",R   JOSE ANTONIO COELHO 00819 ,18/07/2024,,,,,,,
SMUL/PARHIS         ,SAPOPEMBA                     ,,2024.04.054-00,,,,6068-2023-0.002.872-1,,,,,,,RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,03/04/2023,,,153.187.0042-9,,,,HIS, ZEIS-1,,ZONA ESPECIAL DE INTERESSE SOCIAL - 1.,FAZENDA DA JUTA,"18.881,14",MRV ENGENHARIA E PARTICIPAÇÕES SA,"5.944,53",TV  LEV LANDAU 99999 PT LT 1 QD 81,23/07/2024,DENISE SCHMID,,CLAUDIO PIRES COSTA,,B: 2 P: 24 U: 0,,
SMUL/PARHIS/DHGP    ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2021.04.499-01,,,,6068-2023-0.003.630-9,,,,,,,PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,26/04/2023,,,055.254.0030-8,,,,H.I.S, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,VL FORMOSA,,JOSIMO MESQUITA CERQUEIRA,"270,00",R   ITURI 00010 12,25/07/2024,FERNANDO MARTINS CARMONA,,FERNANDO MARTINS CARMONA,,B: 1 P: 3 U: 9,,
SMUL/PARHIS/DHGP    ,BUTANTA                       ,,2022.02.343-02,,,,6068-2023-0.004.244-9,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,10/05/2023,,,170.170.0003-9,,,,EHIS, ZEIS-3 / ZEIS-3/W016,,Z8-029.,PARAISOPOLIS,"9.544,00",MRV XC INCORPORACOES LTDA,"1.840,00",R   LEANDRO TEIXEIRA 115 LT 32 QD M,30/07/2024,CLAUDIO PIRES COSTA,,DENISE SCHMID,,,,
SMUL/PARHIS/DHGP    ,CAMPO LIMPO                   ,,2024.80.164-01,,,,6068-2024-0.003.063-9,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,22/03/2024,,,168.202.0030-6,,,,EZEIS; H.M.P; HIS 1; HIS 2; R1 -01; R2V,ZONEAMENTO ANTERIOR: ZONA NAO DEFINIDA.,,,PARQUE ARARIBA,"54.675,72",PROJETO IMOB.E23 SPE LTDA,"13.321,85",R   CARLOS LEITE DOS SANTOS 220 LOTE 2,12/07/2024,,,,,,,
SMUL/PARHIS/DHGP    ,CASA VERDE/ CACHOEIRINHA       ,,2022.08.729-01,,,,6068-2023-0.011.538-1,,,,,,,APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA,,,,,11/12/2023,,,076.103.0167-1,,,,HIS 2; H.M.P; EZEIS, ZEIS-5 / ZEIS-5/N045,,ZONA MISTA DE MEDIA DENSIDADE.,CASA VERDE,,MK SPE 09 EMP  IMOB LTDA,,R   DOMICIANO RIBEIRO 0000 ,17/07/2024,MARCELO VISCONTE CANDIA,,RODRIGO SOBREIRO ARQUITETOS LTDA,,,,
SMUL/PARHIS/DHGP    ,CIDADE ADEMAR                 ,,2022.81.332-01,,,,6068-2023-0.010.343-0,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,27/10/2023,,,120.390.0008-8,,,,EHIS; HIS 2; R2V,ZONEAMENTO ANTERIOR: EIXOS DE ESTRUTURACAO D,,,CIDADE ADEMAR,"11.610,91",SOFFIO EMPREENDIMENTOS IMOBILIARIOS LTDA,"1.423,50",R   SASSAKI 00175 ,17/07/2024,,,,,,,
SMUL/PARHIS/DHGP    ,JABAQUARA                     ,,2024.03.859-00,,,,6068-2023-0.005.484-6,,,,,,,ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,16/06/2023,,,310.033.0032-1,,,,EHIS, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,VL. GUARANI,"497,30",MARCIO VINICIUS JUNQUEIRA CARDOZO,"226,32",R   SIMAO DA MATTA 552 ,12/07/2024,ROMUALDO ESTREMERA DE CARVALHO,,ROMUALDO ESTREMERA DE CARVALHO,,B: 1 P: 3 U: 8,,
SMUL/PARHIS/DHGP    ,LAPA                          ,,2024.03.852-00,,,,6068-2023-0.007.129-5,,,,,,,ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,01/08/2023,,,079.396.0087-7,,,,EHIS, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,JAGUARE,"53.523,40",CALAARI PARTICIPACOES LTDA,"18.750,00",AV  ALEXANDRE MACKENZIE 99999 LT B,12/07/2024,,,VANESSA DE MORAES MOREIRA E SILVA,,B: 1 P: 10 U: 156; B: 4 P: 10 U: 157; B: 3 P: 10 U: 176,,
SMUL/PARHIS/DHGP    ,MOOCA                         ,,2024.80.318-01,,,,6068-2024-0.005.782-0,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,03/06/2024,,,003.011.0631-2,,,,H.M.P,ZONEAMENTO ANTERIOR: Z3-243.,,,BRAS,"21.225,34",CLAUDINO PROJETO RESIDENCIAL SPE LTDA.,"1.785,62",R   CLAUDINO PINTO 000157 171/181/191/193,22/07/2024,,,,,,,
SMUL/PARHIS/DHGP    ,PENHA                         ,,2024.80.144-01,,,,6068-2024-0.004.009-0,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,16/04/2024,,,113.158.0007-0,,,,HIS 2,ZONEAMENTO ANTERIOR: ZONA MISTA DE BAIXA DEN,,,PENHA,"882,16",ARAUJO & SANTOS CONSTRUCOES LTDA,"304,00",R   ARTUR ALVIM 00348 VL STA TEREZA,17/07/2024,ANDREIA LUCIA CURCIO; ANDREIA LUCIA CURCIO,,,,,,
