sql_mestre,x,y,epsg,status
0010230176,333390.4961,7396151.592749999,31983,ok
0010230177,333392.8163428572,7396161.731642857,31983,ok
0010260001,332967.8612875,7395905.558825,31983,ok
0010260003,332958.77417499997,7395926.840208333,31983,ok
0010260004,332964.21374285716,7395934.836128571,31983,ok
0010260005,332968.56085999997,7395944.341239999,31983,ok
0010260012,332941.1715111111,7395951.048333332,31983,ok
0010260013,332943.3922833333,7395943.821649999,31983,ok
0010260014,332950.33776,7395932.98509,31983,ok
0010260103,332950.2340222222,7395913.176933332,31983,ok
0010260104,332925.23926666664,7395962.284066666,31983,ok
0010260105,332953.3650384616,7395961.928053847,31983,ok
0010270000,333073.9136692307,7395889.767792308,31983,ok
0010270002,333069.25344666664,7395922.860306667,31983,ok
0010270028,333039.54413571436,7395931.234235713,31983,ok
0010270031,333025.1757866667,7395906.94688,31983,ok
0010340024,333649.17455,7395871.20023,31983,ok
0010360000,333049.89184999996,7395741.947691667,31983,ok
0010360004,333075.0116888889,7395821.674066667,31983,ok
0010360008,333036.57331874996,7395764.54189375,31983,ok
0010360279,333040.33164666663,7395827.503826667,31983,ok
0010360427,333069.77663333336,7395800.204550001,31983,ok
0010360428,333065.13187142863,7395810.03957143,31983,ok
0010400000,333297.54341999994,7395688.416033333,31983,ok
0010400002,333299.30323636363,7395709.7558,31983,ok
0010400003,333299.9529888889,7395725.153900001,31983,ok
0010400004,333295.36255714286,7395737.975542856,31983,ok
0010400005,333292.90456000005,7395752.252039999,31983,ok
0010400006,333292.33618,7395760.80316,31983,ok
0010400008,333291.20346000005,7395777.8492,31983,ok
0010400009,333297.09965999995,7395786.0812599985,31983,ok
0010410012,333354.8105846154,7395779.898976923,31983,ok
0010410013,333351.0508888889,7395767.2978,31983,ok
0010410014,333353.54894285713,7395758.389342858,31983,ok
0010410015,333354.07431428565,7395750.734128572,31983,ok
0010410017,333355.8091875,7395736.288225,31983,ok
0010410018,333342.02938,7395728.42252,31983,ok
0010420000,333422.4731846154,7395764.832523077,31983,ok
0010420001,333422.56768333336,7395716.074091665,31983,ok
0010420013,333419.30996153847,7395739.302100002,31983,ok
0010440000,332868.5996857143,7395694.301342858,31983,ok
0010440046,332879.105,7395698.959588889,31983,ok
0010440050,,,31983,sem_lote
0010440051,,,31983,sem_lote
0010440096,,,31983,sem_lote
0010440304,332854.3174,7395685.165342857,31983,ok
0010440349,332917.9305333334,7395625.457166667,31983,ok
0010440351,332919.93232,7395614.39104,31983,ok
0010440356,332903.8486999999,7395695.137463638,31983,ok
0010440358,332905.5039264706,7395615.891241176,31983,ok
0010440361,332924.2822,7395717.23986,31983,ok
0010440365,332871.31576,7395679.842799999,31983,ok
0010450000,333021.50036363635,7395669.239981818,31983,ok
0010450002,333030.3804083333,7395706.421358333,31983,ok
0010450004,332972.34313125,7395661.76316875,31983,ok
0010450005,332994.20267,7395657.84147,31983,ok
0010460000,332966.90029374993,7395474.55138125,31983,ok
0010460002,332968.7588307693,7395499.934992308,31983,ok
0010460003,332989.0503947368,7395552.875510526,31983,ok
0010460007,332973.76623684214,7395596.72821579,31983,ok
0010460059,,,31983,sem_lote
0010460275,332982.8743928572,7395582.102328571,31983,ok
0010480000,333107.37086666666,7395560.98481111,31983,ok
0010490000,333256.5902142857,7395450.622735714,31983,ok
0010490018,,,31983,sem_lote
0010490029,333304.02436000004,7395657.867459999,31983,ok
0010490030,333296.5231142857,7395648.3787857145,31983,ok
0010490034,333294.06312666665,7395615.2823,31983,ok
0010490045,333255.44832499995,7395562.096050001,31983,ok
0010490046,333252.6504444444,7395553.012866667,31983,ok
0010490048,333259.81654285715,7395523.072685714,31983,ok
0010490049,333252.3725555555,7395515.3659666665,31983,ok
0010490055,333226.0469571429,7395447.509038095,31983,ok
0010490059,333241.4401625,7395372.3168,31983,ok
0010490235,333202.58601739135,7395402.305991302,31983,ok
0010490670,333281.27033809526,7395627.304371428,31983,ok
0010490824,333240.15824782604,7395478.751465218,31983,ok
0010500001,333293.4919166667,7395391.4657833325,31983,ok
0010500002,333297.5808,7395398.794371428,31983,ok
0010500003,333303.0296142857,7395403.597914285,31983,ok
0010500005,333312.36675999995,7395416.27933,31983,ok
0010500006,333318.4088909091,7395427.862845454,31983,ok
0010500007,333316.37786999997,7395439.673450001,31983,ok
0010500008,333320.09130000003,7395446.52164,31983,ok
0010500014,333320.2107444445,7395511.307288889,31983,ok
0010500018,333334.2761,7395540.261760001,31983,ok
0010500020,333339.5103166666,7395556.761616667,31983,ok
0010500023,333349.3699,7395573.530412501,31983,ok
0010500024,333347.35801666667,7395582.101066667,31983,ok
0010500025,333348.73874999996,7395587.361416667,31983,ok
0010500026,333346.10725,7395593.3747333335,31983,ok
0010500029,333351.61326,7395610.877999999,31983,ok
0010500030,333350.58091666666,7395623.816133332,31983,ok
0010500077,333340.04346666666,7395445.089044445,31983,ok
0010500081,333346.54464,7395419.68742,31983,ok
0010500085,333335.95536666666,7395392.975699999,31983,ok
0010500086,333337.268525,7395385.487249999,31983,ok
0010500087,333337.2849,7395378.3822375005,31983,ok
0010500088,333346.3321333333,7395365.965116666,31983,ok
0010500097,333350.4733727273,7395602.603545454,31983,ok
0010500113,333332.88128,7395397.789410001,31983,ok
0010500408,333332.29490833334,7395520.141458333,31983,ok
0010510000,333478.75830476196,7395687.220319047,31983,ok
0010510008,333431.22648750007,7395600.242862498,31983,ok
0010510024,333424.7034,7395651.030716666,31983,ok
0010510025,333423.00886,7395658.787020001,31983,ok
0010510028,333473.610297143,7395666.386537142,31983,ok
0010510053,333450.3055142857,7395566.2241857145,31983,ok
0010510054,333443.36836,7395563.397119999,31983,ok
0010510055,333435.0505625,7395573.894175,31983,ok
0010520006,333585.31121333333,7395675.042836668,31983,ok
0010520009,333617.17952222214,7395704.429222222,31983,ok
0010520019,333598.77369090915,7395642.639854545,31983,ok
0010520022,333587.68195,7395621.85702,31983,ok
0010520024,333583.30328181817,7395596.6280000005,31983,ok
0010520025,333584.2298571429,7395589.910657142,31983,ok
0010520026,333584.25461428566,7395580.225814285,31983,ok
0010530000,332873.93152187497,7395550.716009374,31983,ok
0010530006,332877.5361555556,7395574.482088889,31983,ok
0010530009,332851.90647058823,7395586.598258823,31983,ok
0010530012,332835.6832777778,7395600.836372223,31983,ok
0010530017,332832.21364444454,7395656.770022223,31983,ok
0010530018,332823.9875521739,7395668.235265219,31983,ok
0010530020,332796.9647727273,7395632.577936363,31983,ok
0010530025,,,31983,sem_lote
0010530026,,,31983,sem_lote
0010530030,332803.90068823524,7395538.9693941185,31983,ok
0010530033,332848.51878823526,7395569.834717646,31983,ok
0010530036,,,31983,sem_lote
0010530048,332782.2079166667,7395619.399850001,31983,ok
0010530049,332775.40641999996,7395614.4563299995,31983,ok
0010530228,332816.51144000003,7395529.846924001,31983,ok
0010530229,332851.7773625,7395595.329487499,31983,ok
0010530278,332818.41252400004,7395622.736392,31983,ok
0010530363,332779.15646,7395588.435086666,31983,ok
0010550004,332645.7055333333,7395476.201093334,31983,ok
0010550006,332679.21259999997,7395441.711666667,31983,ok
0010550007,332695.9649833333,7395439.1051,31983,ok
0010550161,,,31983,sem_lote
0010560001,332785.164821875,7395413.811668749,31983,ok
0010570000,332930.93417142855,7395469.973371429,31983,ok
0010570009,332924.2878411765,7395447.871088236,31983,ok
0010570018,332929.06125714286,7395514.296828571,31983,ok
0010570024,332942.17282000004,7395437.39454,31983,ok
0010570239,,,31983,sem_lote
0010580000,332898.10558000003,7395397.366566667,31983,ok
0010580001,332940.640224,7395321.529388001,31983,ok
0010580008,332938.90774444444,7395401.120044444,31983,ok
0010580033,332888.3197384616,7395394.4085769225,31983,ok
