sql_mestre,valor_transacao,data_transacao,natureza,fonte_ano
4306704262,1000000.00,2023-01-04,12.Dação em pagamento por escritura pública,itbi_1.xlsx
8241500378,888000.00,2023-01-30,1.Compra e venda,itbi_1.xlsx
2450500029,45664.68,2022-12-28,1.Compra e venda,itbi_1.xlsx
4219800840,738406.44,2023-01-31,1.Compra e venda,itbi_1.xlsx
9006002461,643143.65,2023-01-04,17.Resolução da alienação fiduciária por inadimplemento,itbi_1.xlsx
1572170550,287429.61,2023-01-04,17.Resolução da alienação fiduciária por inadimplemento,itbi_1.xlsx
1020950055,310000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
2390300019,256200.00,2023-01-13,1.Compra e venda,itbi_1.xlsx
2006106775,393000.00,2023-01-03,1.Compra e venda,itbi_1.xlsx
1015770085,531200.00,2023-01-04,17.Resolução da alienação fiduciária por inadimplemento,itbi_1.xlsx
2006107925,20000.00,2023-01-17,12.Dação em pagamento por escritura pública,itbi_1.xlsx
1015780046,263980.00,2023-01-19,1.Compra e venda,itbi_1.xlsx
6719101455,350000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
8801301170,682234.90,2023-01-30,1.Compra e venda,itbi_1.xlsx
9301800111,823000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
5326800195,420000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
0706310381,433575.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
3000940033,820000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
3010340059,2560000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
3010542910,686842.33,2023-01-31,1.Compra e venda,itbi_1.xlsx
8241800150,949619.43,2023-01-23,1.Compra e venda,itbi_1.xlsx
6906400320,264000.00,2022-12-22,1.Compra e venda,itbi_1.xlsx
1461300001,264000.00,2023-01-19,1.Compra e venda,itbi_1.xlsx
7852810195,435000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
8816002190,570000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
3030330110,0.01,2022-12-27,3.Adjudicação (vinculada a processo de execução ou cobrança de dívida),itbi_1.xlsx
4216500315,643864.39,2023-01-24,1.Compra e venda,itbi_1.xlsx
3000308008,655000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
4903901580,226000.00,2023-01-02,1.Compra e venda,itbi_1.xlsx
6006100193,300000.00,2023-01-04,1.Compra e venda,itbi_1.xlsx
1221450807,475000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1140640131,230898.73,2023-01-23,1.Compra e venda,itbi_1.xlsx
1850010019,263100.00,2023-01-23,1.Compra e venda,itbi_1.xlsx
1700730261,370000.00,2022-12-28,17.Resolução da alienação fiduciária por inadimplemento,itbi_1.xlsx
4112100566,1570000.00,2023-01-23,1.Compra e venda,itbi_1.xlsx
2140230212,320000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
3603100786,565522.92,2023-01-16,1.Compra e venda,itbi_1.xlsx
0301606145,378140.38,2023-01-04,1.Compra e venda,itbi_1.xlsx
7206602320,1120000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1504702255,989238.68,2023-01-27,1.Compra e venda,itbi_1.xlsx
3010541945,2150000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
0909203075,2088000.00,2023-01-02,1.Compra e venda,itbi_1.xlsx
7701300732,460000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1473410096,28000.00,2023-01-04,1.Compra e venda,itbi_1.xlsx
7604801617,20000.00,2023-01-03,1.Compra e venda,itbi_1.xlsx
8629700866,1165000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
8503800853,1250000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
2002101140,220000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
3301004377,550000.00,2023-01-04,1.Compra e venda,itbi_1.xlsx
3802103459,1290000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
3401601032,261270.93,2023-01-27,1.Compra e venda,itbi_1.xlsx
2105500196,91640.36,2025-01-23,30.Excesso de meação na partilha (dissolução da união estável),itbi_3.xlsx
0301107025,205000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1122210005,262500.00,2023-01-26,1.Compra e venda,itbi_1.xlsx
7604801048,280000.00,2023-01-03,1.Compra e venda,itbi_1.xlsx
1880280012,210432.42,2022-12-27,1.Compra e venda,itbi_1.xlsx
7534301041,750000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
0603005373,350000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1126940037,593633.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1013050004,214000.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
2030390006,1700000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
9803400169,723958.33,2025-01-27,1.Compra e venda,itbi_3.xlsx
8221801186,460000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1303106043,957854.99,2023-01-27,1.Compra e venda,itbi_1.xlsx
6703701822,264000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
6736500095,290000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1304102246,1280000.00,2023-01-04,1.Compra e venda,itbi_1.xlsx
2990770100,274083.09,2023-02-03,1.Compra e venda,itbi_1.xlsx
8242000263,1350000.00,2023-01-17,1.Compra e venda,itbi_1.xlsx
1016020014,500000.00,2023-01-03,1.Compra e venda,itbi_1.xlsx
8605800518,294786.00,2023-02-02,1.Compra e venda,itbi_1.xlsx
1013850012,1027042.50,2022-12-27,1.Compra e venda,itbi_1.xlsx
8001300137,1479982.16,2022-12-29,1.Compra e venda,itbi_1.xlsx
4013300966,585000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
2304802478,499200.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1135170007,340000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
6703801411,225000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
