sql_mestre,area_terreno,area_construida,valor_m2_terreno,valor_m2_construcao,ano_construcao,fator_obsolescencia_oficial,tipo_terreno,esquinas_frentes,fracao_ideal,codlog,uso,padrao,endereco
0610880063,450,200,1645.00,2249.00,1970,0.28,Normal,0,1.0000,18382-2,Residência,Residencial horizontal - padrão C,"R GAL SOCRATES, 350"
0610880111,484,120,1645.00,2249.00,1970,0.28,Normal,0,1.0000,18382-2,Residência,Residencial horizontal - padrão C,"R GAL SOCRATES, 412"
0610910001,220,100,1537.00,2198.00,1970,0.20,De esquina,1,1.0000,01979-8,Residência,Residencial horizontal - padrão B,"R  AQUILINO VIDAL, 91"
0611270016,573,510,2199.00,2350.00,1967,0.22,Normal,0,1.0000,02284-5,"Cinema, teatro, casa de diversão, clube ou congênere",Comercial horizontal - padrão B,"R  ARNALDO VALLARDI PORTILHO, 103"
0611410096,606,240,1628.00,2249.00,1939,0.20,Normal,0,1.0000,01407-9,Residência,Residencial horizontal - padrão C,"R MAJ ANGELO ZANCHI, 383"
0611420008,220,149,1530.00,2249.00,1967,0.22,Normal,0,1.0000,03336-7,Escola,Residencial horizontal - padrão C,"R  BETARI, 560"
0611430052,1425,1725,2230.00,2761.00,1974,0.35,De esquina,1,1.0000,02284-5,"Outras edificações de uso coletivo, com utilização múltipla",Comercial vertical - padrão B,"R  ARNALDO VALLARDI PORTILHO, 10"
0611430053,2275,1675,2109.00,1650.00,1974,0.35,Normal,0,1.0000,17277-4,"Asilo, orfanato, creche, seminário ou convento",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão B,"R CEL RODOVALHO, 308"
0611490014,366,93,2917.00,2350.00,1976,0.39,De esquina,1,1.0000,10439-6,"Outras edificações de uso de serviço, com utilização múltipla",Comercial horizontal - padrão B,"R DR JOAO RIBEIRO, 80"
0611490054,6248,5645,2205.00,2359.00,1971,0.30,De duas ou mais frentes,2,1.0000,00254-2,Templo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão D,"R STO AFONSO, 199"
0611500016,385,400,2998.00,1996.00,1970,0.28,Normal,0,1.0000,14701-0,"Outras edificações de uso especial, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"PC NSRA DA PENHA, 54"
0611560015,7550,178,1487.00,2249.00,1981,0.48,De esquina,1,1.0000,19558-8,"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",Residencial horizontal - padrão C,"R  VERA CRUZ, 228"
0621290001,18616,21900,3624.00,2933.00,1981,0.48,De esquina,4,1.0000,04736-8,"Hospital, ambulatório, casa de saúde e assemelhados",Comercial vertical - padrão C,"AV  CELSO GARCIA, 4815"
0621620023,919,180,2909.00,2249.00,1970,0.28,Normal,0,1.0000,08236-8,"Outras edificações de uso especial, com utilização múltipla",Residencial horizontal - padrão C,"R  GUABIJU, 49"
0641400063,3320,2200,2825.00,2350.00,1949,0.20,De duas ou mais frentes,2,1.0000,08478-6,Escola,Comercial horizontal - padrão B,"AV  GUILHERME COTCHING, 1272"
0674560032,43645,24950,1741.00,2497.00,1973,0.33,De esquina,1,1.0000,12307-2,"Outras edificações de uso especial, com utilização múltipla",Comercial horizontal - padrão C,"AV  LUIS STAMATIS, 103"
0674730002,32900,18975,1116.00,2497.00,1974,0.35,De esquina,3,1.0000,21376-4,"Hospital, ambulatório, casa de saúde e assemelhados",Comercial horizontal - padrão C,"R  MICHEL OUCHANA, 94"
0684790257,20358,33690,2927.00,3197.00,2003,0.79,De duas ou mais frentes,4,1.0000,13172-5,Escola,Comercial vertical - padrão D,"R  MARIA CANDIDA, 1789"
0690160016,1980,2157,3821.00,3345.00,1972,0.32,De duas ou mais frentes,2,1.0000,19201-5,Escola,Comercial vertical - padrão B,"AV  TUCURUVI, 724"
