sql_mestre,x_utm23s,y_utm23s,origem_ponto,zona_v3,zona_18177,status
0502150024,336619.52,7388876.22,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0502150025,336619.62,7388867.27,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0560480106,341626.96,7396766.48,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0610530001,341772.59,7397330.80,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0610750029,341707.59,7396990.82,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0610750030,341712.23,7396985.66,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0610750031,341717.46,7396979.77,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0610750032,341724.21,7396975.86,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0610750033,341733.60,7396974.59,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0610750076,341701.05,7396994.21,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0610880063,341878.43,7396961.45,centroide_lote_cidadao,,ZEIS-3,ok_vigente_18177
0621620023,338469.70,7396556.28,centroide_lote_cidadao,,ZM,ok_vigente_18177
0721400044,333410.05,7400582.08,centroide_lote_cidadao,,ZM,ok_vigente_18177
0721400047,333394.27,7400582.34,centroide_lote_cidadao,,ZM,ok_vigente_18177
0730320002,334015.56,7398969.09,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0730390070,334054.33,7399896.38,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0732850002,333523.85,7398323.89,centroide_lote_cidadao,,AC-1,ok_vigente_18177
0811790001,328304.77,7393828.82,centroide_lote_cidadao,,ZC,ok_vigente_18177
0842380001,326305.47,7390854.77,centroide_lote_cidadao,,ZCOR-1,ok_vigente_18177
0861280041,329625.62,7387149.05,centroide_lote_cidadao,,ZM,ok_vigente_18177
0873060028,325691.71,7383826.79,centroide_lote_cidadao,,ZM,ok_vigente_18177
0874800008,325346.60,7385646.31,centroide_lote_cidadao,,ZM,ok_vigente_18177
0880190001,325955.14,7383071.17,centroide_lote_cidadao,,ZM,ok_vigente_18177
0904790108,327656.08,7383873.13,nominatim_v5,ZER-1,,so_v3_ainda
0915830001,332241.24,7383481.38,centroide_lote_cidadao,,ZEUP,ok_vigente_18177
0950270003,325281.42,7377240.38,centroide_lote_cidadao,,ZEPAM,ok_vigente_18177
0950890001,325373.15,7377282.61,centroide_lote_cidadao,,AC-2,ok_vigente_18177
0990020198,325858.08,7398462.62,centroide_lote_cidadao,,ZM,ok_vigente_18177
