sql_mestre,zona,ca_basico,fonte,na_aiu_sce
0090410000,ZEIS-5,1,ZEIS_5.shp,
0090410026,ZEIS-5,1,ZEIS_5.shp,
0090410027,ZEIS-5,1,ZEIS_5.shp,
0090410031,ZEIS-5,1,ZEIS_5.shp,
0090410032,ZEIS-5,1,ZEIS_5.shp,
0090410033,ZEIS-5,1,ZEIS_5.shp,
0090410034,ZEIS-5,1,ZEIS_5.shp,
0090410035,ZEIS-5,1,ZEIS_5.shp,
0090410036,ZEIS-5,1,ZEIS_5.shp,
0090410039,ZEIS-5,1,ZEIS_5.shp,
0090410041,ZEIS-5,1,ZEIS_5.shp,
0090410044,ZEIS-5,1,ZEIS_5.shp,
0090410045,ZEIS-5,1,ZEIS_5.shp,
0090410056,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090410057,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090410058,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090410059,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090410060,ZEIS-5,1,ZEIS_5.shp,
0090410061,ZEIS-5,1,ZEIS_5.shp,
0090410062,ZEIS-5,1,ZEIS_5.shp,
0090410063,ZEIS-5,1,ZEIS_5.shp,
0090420000,ZEIS-5,1,ZEIS_5.shp,
0090420001,ZEIS-5,1,ZEIS_5.shp,
0090420022,ZEIS-5,1,ZEIS_5.shp,
0090420023,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090420024,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090420025,ZEIS-5,1,ZEIS_5.shp,
0090420027,ZEIS-5,1,ZEIS_5.shp,
0090440002,ZEU,1,ZEU_u.shp,
0090440004,ZEU,1,ZEU_u.shp,
0090440016,ZEU,1,ZEU_u.shp,
0090440017,ZEU,1,ZEU_u.shp,
0090440018,ZEU,1,ZEU_u.shp,
0090440019,ZEU,1,ZEU_u.shp,
0090440045,ZEU,1,ZEU_u.shp,
0090440046,ZEU,1,ZEU_u.shp,
0090440308,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090480000,ZEU,1,ZEU_u.shp,
0090490026,ZEU,1,ZEU_u.shp,
0090510028,ZEU,1,ZEU_u.shp,
0090510991,ZEU,1,ZEU_u.shp,
0090511589,ZEU,1,ZEU_u.shp,
0090511590,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090520019,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090520022,ZEU,1,ZEU_u.shp,
0090530000,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090530003,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090530021,ZEU,1,ZEU_u.shp,
0090530022,ZEU,1,ZEU_u.shp,
0090530024,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090530025,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090530026,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090530027,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090530031,ZEU,1,ZEU_u.shp,
0090530287,ZEU,1,ZEU_u.shp,
0090540012,ZEU,1,ZEU_u.shp,
0090540013,ZEU,1,ZEU_u.shp,
0090540014,ZEU,1,ZEU_u.shp,
0090540015,ZEU,1,ZEU_u.shp,
0090540016,ZEU,1,ZEU_u.shp,
0090540017,ZEU,1,ZEU_u.shp,
0090540018,ZEU,1,ZEU_u.shp,
0090540019,ZEU,1,ZEU_u.shp,
0090550005,ZEU,1,ZEU_u.shp,
0090550006,ZEU,1,ZEU_u.shp,
0090570001,ZEU,1,ZEU_u.shp,
0090570005,ZEU,1,ZEU_u.shp,
0090570006,ZEU,1,ZEU_u.shp,
0090570045,ZEU,1,ZEU_u.shp,
0090570046,ZEU,1,ZEU_u.shp,
0090570048,ZEU,1,ZEU_u.shp,
0090570300,ZEU,1,ZEU_u.shp,
0090640000,ZEU,1,ZEU_u.shp,
0090650000,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090660007,ZEU,1,ZEU_u.shp,
0090660667,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090670000,ZEU,1,ZEU_u.shp,
0090690012,ZEU,1,ZEU_u.shp,
