uso,tipo,tema,oficialidade,nome,path,bytes,drive_id
USAR,PORTARIA,JURIDICO,OFICIAL,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 172 DE 10 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,17194,1dCep2NzIkFbLCpK4VnNasL9sfELJW0mU
USAR,JURISPRUDENCIA,GOVERNANCA,OFICIAL,RESOLUÇÃO SECRETARIA MUNICIPAL DE CULTURA - SMC_CONPRESP Nº 22 DE 13 DE DEZEMBRO DE 2002 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,60204,1_AyJlEVZjyIneXgSzbuYkOLHGpzunjtC
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.202 DE 16 DE OUTUBRO DE 2019 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,36533,1EUBzD6VgVaWNyBgQ3BRJ0keOoXmJfbSa
USAR,PORTARIA,JURIDICO,OFICIAL,PORTARIA SECRETARIA MUNICIPAL DE COORDENAÇÃO DAS SUBPREFEITURAS - SMSP Nº 20 DE 3 DE MAIO DE 2016 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,3035,1BpMJxgCNBEOs0cqIsTyd6aBcgvNJQ-OK
USAR,OUTRO,OUTRO,OFICIAL,Transferência do Direito de Construir - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura2.md,01A_BRONZE_OFICIAL,5509,1nzy4b1wUSYwl5FrHtzFtvfd8sYyDTZ8S
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.443 DE 10 DE NOVEMBRO DE 2016 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,33802,1aupvo-YmD5UomCMcH-oMPsfUJznCN9ba
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 63.728 DE 10 DE SETEMBRO DE 2024 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,216460,1AOemlU363FdhF9ZOuwLTnFIkna8hAF-O
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 64.018 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,46026,1GZojXYKE5jPwuoEY-R3rd1yGbhSKVZN5
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 58.094 DE 21 DE FEVEREIRO DE 2018 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,26320,1zmF0wT0YwadogvcuK6DmEKlPy6easzwO
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 63.504 DE 14 DE JUNHO DE 2024 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,44637,19r-dfscG6Tx7ktYrfEqPXoEv9cOrFlmh
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.844 DE 14 DE SETEMBRO DE 2022 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,140238,1e1EnDSOCipg8X46HBD1ByjxQ5hLS36FI
