sql_mestre,classe,achou,area_m2,props
0090650000,RECUPERAVEL,sim,614.00,{"cd_identificador":1964466;"cd_identificador_original_lote":8796381;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"065";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"121657";"nm_logradouro_completo":"AV BRIG LUIS ANTONIO";"cd_numero_porta"
0090320000,RECUPERAVEL,sim,1122.00,{"cd_identificador":1977308;"cd_identificador_original_lote":8794359;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"032";"cd_subquadra_fiscal":null;"cd_condominio":"05";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"121657";"nm_logradouro_completo":"AV BRIG LUIS ANTONIO";"cd_numero_porta"
0060430000,RECUPERAVEL,sim,140.00,{"cd_identificador":2042475;"cd_identificador_original_lote":8802710;"cd_setor_fiscal":"006";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"043";"cd_subquadra_fiscal":null;"cd_condominio":"05";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"121789";"nm_logradouro_completo":"R DR LUIS BARRETO";"cd_numero_porta":"1
0260350000,RECUPERAVEL,sim,109.00,{"cd_identificador":6809327;"cd_identificador_original_lote":10668892;"cd_setor_fiscal":"026";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"035";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"176133";"nm_logradouro_completo":"R SALDANHA MARINHO";"cd_numero_porta":
0260250002,RECUPERAVEL,sim,395.95,{"cd_identificador":1992641;"cd_identificador_original_lote":8898901;"cd_setor_fiscal":"026";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"025";"cd_subquadra_fiscal":null;"cd_condominio":"00";"cd_tipo_lote":"V";"tx_tipo_lote":"Via de Acesso";"cd_lote":"0002";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":null;"nm_logradouro_completo":null;"cd_numero_porta":null;"tx_compl
0020160000,RECUPERAVEL,sim,739.00,{"cd_identificador":2736957;"cd_identificador_original_lote":9162969;"cd_setor_fiscal":"002";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"016";"cd_subquadra_fiscal":null;"cd_condominio":"01";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"041467";"nm_logradouro_completo":"R DA CANTAREIRA";"cd_numero_porta":"864
0010180000,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0180310000,RECUPERAVEL,sim,378.00,{"cd_identificador":1961186;"cd_identificador_original_lote":8848256;"cd_setor_fiscal":"018";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"031";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"010294";"nm_logradouro_completo":"R AMAZONAS";"cd_numero_porta":"168 174"
0190700029,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0270850000,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
