sql_receptor,endereco_receptor,distrito_receptor,metragem_compra_m2,area_cedida_equivalente_m2,valor_pecuniario_rs,n_certidao,ano_certidao,data_publicacao,sql_cedente_de_quem_comprou,uso_receptor,nome_comprador,fonte
0360030082,"Av Brigadeiro Luis Antônio, 2707",Vila Mariana,222.43,399.34,,001/12,2012,2012-03-10,0420250030,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0730610019,"R Olavo Egídio, 554 e 564",Santana,450,260.43,,002/12,2012,2012-03-10,0840030017,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0800030123,"R Bela Nápoles, 97",Vila Leopoldina,516.27,325.13,,007/12,2012,2012-12-05,0842380001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
1000740001,"R Cavour, 95 e 110",Vila Prudente,2994.31,375.88,,008/12,2012,2012-07-13,0090510028,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0090860075,"Al Fernão Cardim, 70, 84",Jardim Paulista,456,326.74,,010/12,2012,2012-12-29,0090510028,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
1001090059,"Av Paes de Barros, 3399/ R Capitão Pacheco Chaves, 1.209/ R Cervantes",Vila Prudente,4486.3900000000003,612.92999999999995,,001/18,2018,2018-03-17,0090510028,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0100320021,"R Bela Cintra, 461, 465, 473",Consolação,1335,629.12,,004/13,2013,2013-05-22,0090510028,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0621390002,"R Melo Peixoto, 397, 405, 409 / R Dr Ernesto Mariano, 322 / R Dr Jorge Ramos, 109, 125, 131, 137, 143",Tatuapé,1584.75,239.02,,007/13,2013,2013-09-25,0090510028,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0621390035,"R Dr Jorge Ramos, 95, 117",Tatuapé,317.35000000000002,46.45,,001/14,2014,2014-04-02,0090510028,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
2000430011,"R Camargo, 426 e 440",Butantã,5831.7,1169.1600000000001,,016/17,2017,2018-01-10,0090540012,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0360480012,"R Tomas Carvalhal, 380, 406 / R Afonso de Freitas, 349",Vila Mariana,917.88,1551,,001/13,2013,2013-03-07,0420250026,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0100810658,"Al Santos, 1826",Jardim Paulista,1200,5964.21,,005/13,2013,2013-09-25,0401150019,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0300680001,"R Bom Sucesso, 366, R Ipojuca, 81 / R Padre Adelino, 1811",Tatuapé,12063.92,5889.03,,010/18,2018,2018-07-06,0401150019,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0140560084,"Av Nove de Julho, 3624, 3634, 3666",Jardim Paulista,3467.02,9463.09,,011/17,2017,2017-11-11,0401150019,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
