hash_md5,canonico_id,dup_id,dup_status,motivo
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1KPANSI-3vrOPbmLDVpavFUJAF4p-NwtV,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1qvP6opEpfvWLZQbG-VdGk5gAZJJf7F6v,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1pZ5TWPULUVU6JfRBpaeKeOpqznCX2jtN,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,18bkQFmS6oCGjcVR99iAsrFISW437pARe,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1uGXS16lLvzlgJWpdyLcfG4HfZxR5Eig-,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1hNEsLDeCM1JMUfmlefQhbzhVE4od2q4X,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1cZa2f_HZWH0Dj2dFIPuE_YZPW0H1Ay96,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1fJy9aEeNfI9ZK0OkRCmzCWWbGMABnCl1,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,11rN6AzOLinEiBNtbnAkrG4_yUGWBdDQe,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,12JSu0C2my6N0GOBVu75CL6pSLEN6nx5z,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,11xPsitBpfR5X2EBPoMDNLtRLg1jGP0RF,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1tEllev86gObzqgBhlNCso5WYmuBrNUVj,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1X0L95B2_c8GZZpSO28ZJr9gzuRlufXF_,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1-K3FtacDgTlOaCOQQHW3oAE4-Y0JfAIs,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1AM84aI9StYAUwr_dN6N8KE7s4TthyJh4,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,11eEW2g3134uAOATczvtTFbJ7m6VUAiEy,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1Zj211JgFH34wPQ7pxTjeBp8JLbGGA67n,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1zIXf9BOp89YmIGMoCKq9nIWOXtIIH5oW,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1ReRixQGo-bPkjsCN1Wo8vfS1KWisO6px,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1MwFCWES_0ddcrcb9MU8mBgkJT0DvhVy4,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1PDVAGQPFStfb6PEtgt5ICSMMoEvtgFdG,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1E5g6kteH1lGlB8oIgAOaThG9lzc6WHpc,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1FRyPpyw_jSpgSbLkrACxkK4-MCOpGdZY,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1s48BP8AfvaERKUaGcgYDxqfO-_FaxtpA,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1xhXWWWQfKPSXqkYvY1CwvEIxwmidNQLy,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,14r7NA6qBsKhy8APnbYc-r_EMCFYHnzFc,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
