bucket,titulo,drive_id,tamanho
geo-shapefiles,CGP_NotaTecnica.pdf,1p5udqWv-zI-I42WqgeoD083iZRVzRTm4,3.3 MB
geo-shapefiles,Chamada B+P Smart Factory - BNDES2025 - Projeto KEEPEE - Keepee Assist (SGF 338383)– Copiaree_Pesquisável.pdf,1iKcaW5bD1OIFG48AxeXC_8WMeL9JNWpk,4.9 MB
geo-shapefiles,Cnae_X_Item_Lista_Servicos.pdf,1itZ0vaGsvHFK4BbozGVJKX9Py7IJJCBM,0.2 MB
geo-shapefiles,Contrato de Gestão Comercial e Parceria Estratégica.docx,1p-icDGiZbmKcEH_jnyJa52L4yo9z4gWR,0.0 MB
geo-shapefiles,D57536.pdf,1O6swdMMqOCE86d3EllLWcGLws0JMZU6a,0.3 MB
geo-shapefiles,D57776.pdf,1NofgsoosmvVVGNiaQm4Xr4gT6AwmqVKC,1.2 MB
geo-shapefiles,D57776_2017_anexos.pdf,1pi0LrR98w1V493YMVGRcYhB16IykcxYZ,4.9 MB
geo-shapefiles,d833c_05_TEO_89_itens (1).pdf,1DjNzdv9DhebFkZ8rB6vSWDeuBJUJTIyk,0.0 MB
geo-shapefiles,d833c_05_TEO_89_itens.pdf,1GRu3oAkqrUgbKnARw94xmLXcPN6S8Mm8,0.0 MB
geo-shapefiles,dados de advogado.pdf,1xie8VKkSo_oP5sZ1MMYjG7q2wn2pl-0d,0.1 MB
geo-shapefiles,datageo-VWM_AREAS_CONTAMINADAS_GEODADOS_CETESB_PTO.kml,1xlbAzT83WsHhA_F7zny40Pc4wDNCklht,0.0 MB
geo-shapefiles,documento_final_ia.pdf,17jxDexBvXStSVCsu3T5wYDcer-JHAcPz,34.0 MB
geo-shapefiles,download.pdf,1-wKwgGwf-arJb9AODxKuVUs_rzGqbr8H,0.1 MB
geo-shapefiles,downloadPeca.pdf,1s_vU0VW1j8Zj4_usuE_WvbHrliFOkt7-,0.3 MB
geo-shapefiles,ESCOLA~1.PDF,1bWb6KA6JAb8M-Ri2kJ2umklSKtzY6Y_v,0.1 MB
geo-shapefiles,fila_tdc_5porcento_fundurb-2026- fevereiro.pdf,1wp7fSIGqreMp5JbviJiCduxl4s9WFzqy,0.2 MB
geo-shapefiles,fila_tdc_5porcento_fundurb_dez_2025-pdf.pdf,1H0bFBm-FV7VyfELOQh6x5K9c2wFuS5bZ,0.3 MB
geo-shapefiles,FileFetch.pdf,1AmRGYZCmDE3_pXSBelD-zrRpWbTn6L8y,4.3 MB
geo-shapefiles,Fisco não pode revisar lançamento com base em fatos já conhecidos.pdf,1Gh_J3eJamRTXWv4cbuwiyeUTa0zOCMMQ,3.3 MB
geo-shapefiles,FUNDURB_Balanco_Financeiro_Consolidado_01JAN_2026.pdf,1uGXJxoaXee6xEg-Cyjqh2YFadd3XIN1o,0.4 MB
